,year,tair_mean,tair_std,nirr_mean,nirr_std,precip_sum,vapor_press_mean,vapor_press_std
34,1935,-4.301868,13.181892101549632,92.291504,77.64777160859366,420.9022,410.03683,333.4637093400075
35,1936,-3.4352124,14.634098596496104,94.43596,80.05015636936461,442.86234,457.93692,385.83434915434225
36,1937,-2.893548,12.982974092485932,94.58264,80.42042642520218,340.85666,440.65817,342.33050569751276
37,1938,-2.7018902,13.7720289448537,94.151596,80.22049921313649,285.067,455.9732,352.47779350762517
38,1939,-3.6935353,13.400319829434816,93.71658,80.05326793060676,372.4841,422.9861,349.1951361460096
39,1940,-1.2018968,12.362580555041024,97.41065,83.58863728268133,246.79541,478.7807,331.3838628992741
40,1941,-2.4352083,13.445554503738725,94.22925,79.98481739578804,284.87494,460.04416,352.9289655681235
41,1942,-2.3518927,14.247527236978733,95.71355,81.68694913284493,364.29666,484.80466,379.1401809097692
42,1943,-1.9852077,13.244808215426264,94.51812,81.72302541167343,267.4456,468.51437,352.0139151359993
43,1944,-2.0435462,12.230350247614988,92.89954,79.34706011616808,358.6737,450.23743,346.7155333427302
44,1945,-3.4935405,12.26781003843089,91.46908,77.3381931487062,370.68323,414.56696,336.57629129334896
45,1946,-4.0602193,14.844508542591857,95.17789,80.75276793419492,257.69296,418.54398,367.1255719073796
46,1947,-2.8102098,13.118432599799718,94.53613,80.44289197701056,248.08948,424.38614,317.7920685972659
47,1948,-4.835213,13.972575395889933,92.67946,77.72335160625802,353.2204,384.05792,340.8430854031939
48,1949,-3.4435673,13.335001297861206,93.05977,77.27018533445103,349.9386,414.24774,337.2094319319857
49,1950,-3.7185547,14.84688147465833,95.8841,81.08352205006892,313.61682,434.18927,366.601577801395
50,1951,-4.101903,15.076030387607762,95.40073,80.79456633945277,283.50848,429.97345,373.38889135415553
51,1952,-3.25188,13.070936057486078,92.09654,77.72198397088408,376.70178,412.4821,325.66794171311824
52,1953,-2.7102373,14.325986560427731,95.067665,80.01780226652875,399.30624,454.0198,381.2714113427788
53,1954,-3.8102112,14.738704500037251,95.58352,80.74819446256345,321.76453,433.00052,371.1943790817841
54,1955,-4.810207,14.246382186104492,93.05518,78.45782241127924,418.24542,399.01825,355.80576680368904
55,1956,-5.8018794,15.844253407360743,92.95752,78.45358856678592,321.17694,399.00336,384.666136156111
56,1957,-1.9268866,13.432887620688977,96.14646,82.39889856887258,428.34064,466.17685,368.6452745793497
57,1958,-2.668552,13.335453231024315,95.70837,81.0768439621451,278.46057,458.52353,385.4528700660165
58,1959,-4.318547,14.250568301246215,94.070305,78.66030102199029,318.02426,422.28064,359.4898685779129
59,1960,-2.6352081,12.564014329362685,94.54151,80.57797301706607,385.67383,451.70078,347.39116015610927
60,1961,-4.9435563,14.801676350765002,92.89596,78.16880409302365,339.34775,416.15,373.2379455243185
61,1962,-2.960223,13.085288787416737,91.795006,77.59866923427835,414.17987,451.48618,376.9030230205579
62,1963,-2.8768775,12.761270301086585,93.2235,77.9455651470368,449.14078,449.0628,346.4315610621769
63,1964,-4.943563,15.137709857280974,92.87835,77.74320019603354,294.50064,419.18237,384.6780815043873
64,1965,-4.185234,14.144637677327065,89.80465,75.84012138799537,363.16702,430.57355,364.4661360569852
65,1966,-4.960211,15.445412507096373,93.31902,78.6464054752298,300.58524,422.52692,374.44733665194116
66,1967,-3.0935407,13.823148943735163,90.01458,75.01647290680333,492.75623,455.5842,385.21850080931404
67,1968,-3.801885,14.433861992689128,95.02306,79.3847714369563,244.56548,427.25998,379.322267029434
68,1969,-2.87689,14.474103964923769,96.69294,81.79850714246636,241.36847,447.66656,338.1006766671938
69,1970,-3.2852454,13.098234914963477,91.93779,78.48522066652708,350.76334,431.54608,343.4807786145023
70,1971,-5.418554,15.935647260225682,93.15751,79.59638497730438,326.57846,418.37277,385.5632119666344
71,1972,-5.2518964,15.455594646513802,95.91026,81.57169892923753,250.20805,428.14896,413.06167499480654
72,1973,-4.0352197,14.588917380054873,91.475235,77.88429416596286,301.85226,424.6611,374.5906901151036
73,1974,-4.4268594,15.55620783650889,95.46864,80.95058045206838,239.11186,421.9116,385.526381917784
74,1975,-4.3935537,15.480615915179705,92.92558,77.99210675370291,315.5794,418.96417,403.4543494905282
75,1976,-2.6018724,13.947205149586912,95.0298,79.95779770425129,351.13046,454.75906,377.89579512159014
76,1977,-2.3518982,13.878556756863672,94.51666,80.13102432078907,389.5484,484.75317,405.4389479534408
77,1978,-1.4435393,12.345204816169716,94.57151,79.2775383733623,374.14038,460.4392,360.22874081163934
78,1979,-2.743558,14.848829142961794,93.90103,80.13193869261137,274.52884,485.13287,387.1534373287099
79,1980,-2.676881,14.40178806126361,92.81412,78.3164642225887,386.86798,445.2392,369.0400146548543
80,1981,-0.8435508,11.075398335734057,92.38404,78.83912241824135,341.73688,480.16498,354.01656155265624
81,1982,-4.118531,14.337658649060584,91.49412,77.7568803109218,334.22092,440.77158,381.3114963666698
82,1983,-3.0518558,13.347287522793374,92.2847,78.92638793970542,257.14407,443.02966,368.2239681779598
83,1984,-3.2852275,13.653138895762742,91.89811,78.16936469141831,357.20016,441.761,365.1136669876527
84,1985,-3.0935564,12.579114429842985,91.48247,77.82622431450338,406.17203,447.80582,356.0667489066487
85,1986,-2.6768937,12.492985289650166,93.49528,78.95261991277786,286.33768,464.6001,360.0348086053057
86,1987,-1.5768644,12.372554163019794,93.764565,79.27618416443839,267.44528,488.40228,360.9162661737019
87,1988,-2.010199,13.068639384042374,90.78591,77.07490594368052,281.00403,483.41592,386.7594872341547
88,1989,-3.0769048,15.121167223231856,92.2968,77.27088011619394,353.72125,490.40863,414.7927671021084
89,1990,-3.6685517,16.141474114166964,94.50259,81.14598906328165,474.27274,458.63605,390.3261682902822
90,1991,-2.3518708,13.538928298431859,93.53305,79.44465838125593,303.61636,467.1759,375.0087149038979
91,1992,-3.276891,13.002095069899795,91.00769,77.01010141685178,389.79785,444.33484,365.42337711423176
92,1993,-0.768541,12.725880024859283,94.78502,81.90573858074079,390.63416,467.40726,373.62328760190866
93,1994,-2.6768887,14.205338619741251,93.85984,80.28479169416919,331.73416,453.4013,388.9149331216179
94,1995,-2.1685417,14.216122535980006,93.75522,79.45177773690436,298.3618,485.81818,402.34757126742966
95,1996,-4.551886,14.696565801981846,95.57832,81.76320743049614,314.8353,433.96982,388.43597716682797
96,1997,-2.0268726,13.938668998351746,94.78508,80.13889781808417,261.8437,520.405,419.8721609726126
97,1998,-1.6352066,13.108139434777433,89.23815,74.84774270163643,358.20245,511.05695,376.6804967580129
98,1999,-3.776882,15.246388649071607,91.904434,77.50529772486799,279.28244,455.43274,399.64098221924536
99,2000,-1.9268715,11.71827857119078,89.969376,76.5205637297049,289.12726,456.40726,337.12967485325663
100,2001,-2.0268724,12.574696309390962,89.16604,75.07694635009175,273.50662,475.72623,380.07107080418217
101,2002,-0.9768788,11.697093546888937,93.02876,78.66577334919027,278.684,492.46793,353.3969101178305
102,2003,-1.5685314,12.641930566085579,92.03467,78.25896592089221,315.6078,507.25314,368.52870764455577
103,2004,-1.6935666,14.149351580755361,92.050804,78.25696744952721,442.31494,519.312,402.27914941899735
104,2005,-1.2102126,13.321430645169762,91.651115,78.95961566667528,391.24628,531.3512,389.9700107689753
105,2006,-2.3935463,13.99885255826371,90.06141,76.7987771229589,286.51328,493.27252,390.2331822203315
106,2007,-1.968533,14.012108746941244,91.7257,77.69047459399174,353.36035,515.39386,405.38693343827396
107,2008,-3.0518665,13.572336668994032,88.051865,74.36634240594569,411.95944,464.133,380.6414796670887
108,2009,-2.4852066,13.997420705100394,92.636665,79.73046911352777,327.9845,484.9675,390.396790834761
109,2010,-1.6602403,13.253999254614584,92.11646,76.88820814046606,301.13174,504.583,379.1871803983191
110,2011,-2.7518783,13.768639712727653,91.83546,77.07521668651863,298.7496,486.4407,380.82950600961857
111,2012,-4.22687,15.49439208641277,91.95023,77.34589206844628,261.39508,457.32263,388.6179343770498
112,2013,-2.4102173,13.601219862865229,94.39178,81.6668665123709,298.3887,499.63293,397.26294796455494
113,2014,-1.043568,11.577896297952705,93.478516,78.47529989864587,451.7721,536.8238,343.0140952245478
114,2015,-1.0602258,12.615422019727532,92.78011,80.04232162183338,328.2165,533.3693,358.49021110129
115,2016,-0.11022387,12.352017396908197,91.905045,77.71376418724205,391.22043,572.12695,383.06029431531283
116,2017,-1.6018662,13.831298722543274,92.75614,78.95080522363651,357.69592,533.00635,401.2948969572574
117,2018,-1.068551,12.547931404827171,90.41835,76.73754422035954,315.79318,537.95654,377.7858540463134
118,2019,-0.16854596,12.951885768490918,92.85175,80.41306502795551,418.55884,567.825,388.1347092759463
119,2020,-2.9852211,14.72281953683988,91.958244,78.23828565339416,362.87955,500.0419,401.0993903894591
120,2021,-3.040136,13.908531413892778,101.87497,92.71052769548243,437.956,478.09515,370.2238108357937
121,2022,-1.928728,13.018524651353635,105.36763,95.92423260291368,307.65,490.19025,373.69309931534275
122,2023,-1.7981255,13.404408727472594,96.496124,87.67504884763456,434.37,513.2736,410.9241283420317
