cmt,exp,time,z,VWCLAYER,TLAYER
black_spruce,burn_1990,2024-01-03,0.3,0.28702731022831646,3.3923867094785622
black_spruce,burn_1990,2024-01-03,0.3,0.28702731022831646,3.3891361082496227
black_spruce,burn_1990,2025-01-03,0.3,0.2969968079824983,1.223502726151275
black_spruce,burn_1990,2026-01-03,0.3,0.29439342632507864,3.574692275759003
black_spruce,burn_1990,2027-01-03,0.3,0.2850123537450108,2.579222770132326
black_spruce,burn_1990,2028-01-03,0.3,0.2819459919092118,2.8045295205337974
black_spruce,burn_1990,2029-01-03,0.3,0.27905533506903873,5.023528775013949
black_spruce,burn_1990,2030-01-03,0.3,0.2636120911693359,4.627211780543571
black_spruce,burn_1990,2031-01-03,0.3,0.2755838846700717,4.507578559477379
black_spruce,burn_1990,2032-01-03,0.3,0.28185464695385287,3.9528374965485904
black_spruce,burn_1990,2033-01-03,0.3,0.28947267338726346,2.9778544838416607
black_spruce,burn_1990,2034-01-03,0.3,0.27031818540930197,5.463004784263828
black_spruce,burn_1990,2035-01-03,0.3,0.2707288876730419,4.1817129521578025
black_spruce,burn_1990,2036-01-03,0.3,0.2738517825318037,5.363837438684728
black_spruce,burn_1990,2037-01-03,0.3,0.27951150603502234,4.444782603641962
black_spruce,burn_1990,2038-01-03,0.3,0.27712585163149145,4.106830191748087
black_spruce,burn_1990,2039-01-03,0.3,0.2821145328629727,3.7121470414528757
black_spruce,burn_1990,2040-01-03,0.3,0.2998063117751272,3.0964245203839025
black_spruce,burn_1990,2041-01-03,0.3,0.2996371939825511,4.066175049984965
black_spruce,burn_1990,2042-01-03,0.3,0.29523869243670436,4.611521302101341
black_spruce,burn_1990,2043-01-03,0.3,0.2993220639512755,3.368577836586168
black_spruce,burn_1990,2044-01-03,0.3,0.3173462003189982,1.920485334675161
black_spruce,burn_1990,2045-01-03,0.3,0.31897195556557556,3.333930353928983
black_spruce,burn_1990,2046-01-03,0.3,0.3188553372568278,2.485244950961519
black_spruce,burn_1990,2047-01-03,0.3,0.3314271998742925,3.443193127371738
black_spruce,burn_1990,2048-01-03,0.3,0.32501503345872995,2.9317098245236375
black_spruce,burn_1990,2049-01-03,0.3,0.3084502055175627,4.0598199331856035
black_spruce,burn_1990,2050-01-03,0.3,0.3026390066037401,4.093701860168355
black_spruce,burn_1990,2051-01-03,0.3,0.31384228389787144,0.9047758776666371
black_spruce,burn_1990,2052-01-03,0.3,0.31216647738108155,1.2012327488549068
black_spruce,burn_1990,2053-01-03,0.3,0.1187812321451021,5.52478227989361
black_spruce,burn_1990,2054-01-03,0.3,0.18183910299932843,7.728906119086772
black_spruce,burn_1990,2055-01-03,0.3,0.28096339221842515,5.031137403068575
black_spruce,burn_1990,2056-01-03,0.3,0.27568541000723795,6.521337257568177
black_spruce,burn_1990,2057-01-03,0.3,0.2827404562994352,6.244658349832546
black_spruce,burn_1990,2058-01-03,0.3,0.28849714613743754,5.9417724680149435
black_spruce,burn_1990,2059-01-03,0.3,0.2627400698637159,6.162707676825312
black_spruce,burn_1990,2060-01-03,0.3,0.24376413311165407,7.758506816285021
black_spruce,burn_1990,2061-01-03,0.3,0.26667226149793244,8.024797030541611
black_spruce,burn_1990,2062-01-03,0.3,0.2849600941339708,6.6356887639692514
black_spruce,burn_1990,2063-01-03,0.3,0.2788351420348002,4.968876375966047
black_spruce,burn_1990,2064-01-03,0.3,0.28833114893981604,4.171683565375186
