cmt,exp,year,burn_year,GPP,RECO,NEE,NPP,RH,RG,RM,VEGC,LTRFALC,SHLWC,DEEPC,MINEC,total_soil_carbon,ALD,BURNVEG2AIRC,BURNSOIC,total_burn_emissions,years_since_fire
birch,burn_1960,2072,1960,697.7726526665774,652.1846768903644,-45.58797577621306,289.136774970662,243.5488003544112,147.5001206882298,261.1357558477234,3535.9881364158937,244.9076299543301,60.76606070995331,2079.397119641304,16838.404850005172,18978.56803035643,5.283389616926398,0.0,0.0,0.0,112
birch,burn_1960,2073,1960,694.4467579115408,654.4117841528682,-40.03497375867255,285.50565170646064,245.470666707887,147.13761518409592,261.80350226088535,3577.8912439459623,244.4482065377308,58.12775707244873,2080.075191296637,16832.81654903479,18971.019497403875,5.28372651097075,0.0,0.0,0.0,113
birch,burn_1960,2074,1960,771.4008209557942,710.3349288213154,-61.06589213447876,314.5612628376243,253.49536303708024,159.7568644338171,297.0827013504181,3634.9220760859703,248.27983431703683,47.87302842736244,2077.200023582205,16825.953842240386,18951.026894249953,5.28361747296956,0.0,0.0,0.0,114
birch,burn_1960,2075,1960,800.4008747145745,719.105498925421,-81.29537578915347,316.64622163325976,235.35085131207572,164.76529481558828,318.98935279775696,3696.078456621054,254.33835196159248,50.52000002066294,2072.6109527722,16817.227891026996,18940.35884381986,5.283075002376406,0.0,0.0,0.0,115
birch,burn_1960,2076,1960,820.7178853593641,769.6529446193654,-51.06494073999875,312.88077749451895,261.8158453113519,165.19949837405875,342.6376009339547,3746.8362369367,257.3809676676417,48.05170956750711,2067.4990425426513,16804.999391880818,18920.550143990975,5.2834271216482165,0.0,0.0,0.0,116
birch,burn_1960,2077,1960,840.3509424477215,778.6718899156351,-61.679052532086416,332.5487274719467,270.86968148337274,170.86057044328118,336.94163798898126,3811.618984669369,259.27750134686676,46.55337283015251,2065.307711094618,16790.686582461,18902.54766638577,5.282799612627619,0.0,0.0,0.0,117
birch,burn_1960,2078,1960,868.3298586674046,801.6179486609149,-66.71191000648969,328.74504237379597,262.0331300012812,175.70243759592995,363.88238106370363,3883.9867416870743,262.2444264612054,40.67288763821125,2058.020187629387,16772.549891522154,18871.242966789752,5.2823526357790715,0.0,0.0,0.0,118
birch,burn_1960,2079,1960,791.1077836636323,730.3875002132338,-60.72028345039848,320.8683465783988,260.1480720636912,167.9555519031128,302.2838762464298,3928.236543788982,254.8081385191283,49.206307192643486,2057.3905864180997,16756.59435181506,18863.1912454258,5.282494468941975,0.0,0.0,0.0,119
birch,burn_1960,2080,1960,673.2587915727026,646.1747927559892,-27.08399881671346,265.09805273769393,238.0140587449986,142.63746137946146,265.52327263152915,3964.437323171374,247.27220230962143,60.24769332011541,2063.0917595941573,16747.317215355113,18870.656668269385,5.282666480734437,0.0,0.0,0.0,120
birch,burn_1960,2081,1960,807.7347411621095,745.2765376280051,-62.458203534104314,319.2383308799084,256.78010880835217,165.87156474246876,322.62486407718427,4012.377818655882,261.83294291262087,51.98302972316742,2056.0823499877006,16734.790858441964,18842.85623815283,5.2829330893168605,0.0,0.0,0.0,121
birch,burn_1960,2082,1960,750.804668621684,742.827757938504,-7.9769106831799945,283.30289106633654,275.3259705433843,153.53462123707868,313.967166158041,4042.0551288412726,263.25435173753704,59.331446439027786,2055.041917776689,16720.773684886284,18835.147049102,5.282942550163064,0.0,0.0,0.0,122
