,time,x,y,layer,z,type,LWCLAYER
205,1918-02-01,1,0,0,0.05,1.0,0.0
206,1918-03-01,1,0,0,0.05,1.0,0.0
207,1918-04-01,1,0,0,0.05,1.0,0.0
208,1918-05-01,1,0,0,0.05,1.0,0.09389269230209099
209,1918-06-01,1,0,0,0.05,1.0,0.07059862406871364
210,1918-07-01,1,0,0,0.05,1.0,0.10459940457993194
211,1918-08-01,1,0,0,0.05,1.0,0.13223704241117387
212,1918-09-01,1,0,0,0.05,1.0,0.1141273772159418
213,1918-10-01,1,0,0,0.05,1.0,0.06064909763087933
214,1918-11-01,1,0,0,0.05,1.0,0.0
215,1918-12-01,1,0,0,0.05,1.0,0.0
216,1919-01-01,1,0,0,0.05,1.0,0.0
217,1919-02-01,1,0,0,0.05,1.0,0.0
218,1919-03-01,1,0,0,0.05,1.0,0.0
219,1919-04-01,1,0,0,0.05,1.0,0.02572457402438551
220,1919-05-01,1,0,0,0.05,1.0,0.07288891752119658
221,1919-06-01,1,0,0,0.05,1.0,0.11031040600574857
222,1919-07-01,1,0,0,0.05,1.0,0.12615638659858097
223,1919-08-01,1,0,0,0.05,1.0,0.12468971131368532
224,1919-09-01,1,0,0,0.05,1.0,0.16274905701888145
225,1919-10-01,1,0,0,0.05,1.0,0.07116426847480462
226,1919-11-01,1,0,0,0.05,1.0,0.0
227,1919-12-01,1,0,0,0.05,1.0,0.0
228,1920-01-01,1,0,0,0.05,1.0,0.0
229,1920-02-01,1,0,0,0.05,1.0,0.0
230,1920-03-01,1,0,0,0.05,1.0,0.0
231,1920-04-01,1,0,0,0.05,1.0,0.0
232,1920-05-01,1,0,0,0.05,1.0,0.08873761812713471
233,1920-06-01,1,0,0,0.05,1.0,0.05972797397730951
234,1920-07-01,1,0,0,0.05,1.0,0.0920701044797852
235,1920-08-01,1,0,0,0.05,1.0,0.11108333754352626
236,1920-09-01,1,0,0,0.05,1.0,0.12570072455060396
237,1920-10-01,1,0,0,0.05,1.0,0.02159008505419584
238,1920-11-01,1,0,0,0.05,1.0,0.0
239,1920-12-01,1,0,0,0.05,1.0,0.0
240,1921-01-01,1,0,0,0.05,1.0,0.0
241,1921-02-01,1,0,0,0.05,1.0,0.0
242,1921-03-01,1,0,0,0.05,1.0,0.0
243,1921-04-01,1,0,0,0.05,1.0,0.02345284805925174
244,1921-05-01,1,0,0,0.05,1.0,0.06148635275999677
245,1921-06-01,1,0,0,0.05,1.0,0.07415441682389753
246,1921-07-01,1,0,0,0.05,1.0,0.07711615389331922
247,1921-08-01,1,0,0,0.05,1.0,0.07977226506022311
248,1921-09-01,1,0,0,0.05,1.0,0.11971891977766272
249,1921-10-01,1,0,0,0.05,1.0,0.07584297877806404
250,1921-11-01,1,0,0,0.05,1.0,0.0
251,1921-12-01,1,0,0,0.05,1.0,0.0
252,1922-01-01,1,0,0,0.05,1.0,0.0
253,1922-02-01,1,0,0,0.05,1.0,0.0
254,1922-03-01,1,0,0,0.05,1.0,0.0
255,1922-04-01,1,0,0,0.05,1.0,0.023677837435360845
256,1922-05-01,1,0,0,0.05,1.0,0.10098742610148981
257,1922-06-01,1,0,0,0.05,1.0,0.07336241332474143
258,1922-07-01,1,0,0,0.05,1.0,0.17319229462344635
259,1922-08-01,1,0,0,0.05,1.0,0.11479843918445268
260,1922-09-01,1,0,0,0.05,1.0,0.16773813599514537
261,1922-10-01,1,0,0,0.05,1.0,0.12097913628660925
262,1922-11-01,1,0,0,0.05,1.0,0.0
263,1922-12-01,1,0,0,0.05,1.0,0.0
264,1923-01-01,1,0,0,0.05,1.0,0.0
265,1923-02-01,1,0,0,0.05,1.0,0.0
266,1923-03-01,1,0,0,0.05,1.0,0.0
267,1923-04-01,1,0,0,0.05,1.0,0.03553561893379797
268,1923-05-01,1,0,0,0.05,1.0,0.11631124194170192
269,1923-06-01,1,0,0,0.05,1.0,0.09879894250588922
270,1923-07-01,1,0,0,0.05,1.0,0.07885527829855492
