time,year,month,air_temperature_celsius,precipitation_mm,shortwave_radiation_wm2,vapor_pressure_pa,vpd_pa
1960-12-01,1960,12,-12.768960985573358,8.630158170937818,1.2765516726403825,171.68901437544352,57.06240072498639
1961-01-01,1961,1,-15.263132025605842,6.381735429709323,6.170576463560335,130.03974624200652,56.30797039182272
1961-02-01,1961,2,-20.58229870569136,5.339910953008342,38.94500082671958,80.47978304784878,37.98476424340882
1961-03-01,1961,3,-18.5565542528706,4.553719063380868,105.96636446315898,96.44416978415003,44.69287740715666
1961-04-01,1961,4,-7.166280301411916,25.08451655739563,174.59874845679013,249.3916048415253,107.33667231191174
1961-05-01,1961,5,6.413346493628751,45.00112574828563,233.77945564516128,584.5593896804362,377.60266214663613
1961-06-01,1961,6,12.722492133246533,47.56152280287296,225.59240277777775,922.8847873945222,547.8190852631049
1961-07-01,1961,7,13.3959948098788,111.37242627907897,196.96093787335724,1007.7734708177348,529.1382864446194
1961-08-01,1961,8,10.550003613707872,109.04126915059464,136.026618130227,943.371076114196,330.5145102657244
1961-09-01,1961,9,5.155178472730881,106.81727523622442,88.21386911651234,669.562495905513,212.2023729467569
1961-10-01,1961,10,-9.367091550109194,45.92403902584508,41.072671118659926,246.00394689513155,54.37265460415608
1961-11-01,1961,11,-19.707568973965092,16.12352161039965,11.305685185185183,96.76886073382654,31.05211799298702
1961-12-01,1961,12,-29.0096515450426,24.252630889481708,1.366347072879331,39.9580271718147,15.163574707082603
1962-01-01,1962,1,-18.543110972578773,25.41730841159051,5.740005973715651,100.53380240446434,40.76582743984311
1962-02-01,1962,2,-13.497249984741188,23.03649734981761,28.748149801587303,170.3221021231595,45.23863283592917
1962-03-01,1962,3,-15.30692956985962,27.483137337434016,103.1882790629069,128.14864375341082,57.52175342466887
1962-04-01,1962,4,-4.979179827372207,29.619457568685448,179.38789660493828,308.5574370909084,113.27718800854734
1962-05-01,1962,5,2.617098047400077,42.29012398425169,228.58834304062125,523.6314183406831,213.75881600178877
1962-06-01,1962,6,12.091694492763963,63.5348739512267,255.7771033950617,874.5863420700132,536.3923284870068
1962-07-01,1962,7,15.169624213762177,89.59943608418186,203.9684177120669,1133.6421439305466,590.2969439415324
1962-08-01,1962,8,12.902472699073089,142.16237283055122,151.26984916367982,1098.9829101717364,389.1638201435235
1962-09-01,1962,9,3.3051189634535376,77.62982872153401,99.17191620852624,573.9008114118611,200.40053563245783
1962-10-01,1962,10,-2.524898110666584,12.438119020224292,45.489120856573365,390.9740005379042,116.28032752604645
1962-11-01,1962,11,-14.627412011888282,9.433193911522864,11.080666666666668,150.27287667068072,46.157266606012314
1962-12-01,1962,12,-18.97833856151948,28.965660731895326,1.3341039426523298,103.1079999542649,33.012110811410054
1963-01-01,1963,1,-15.884944722985663,65.05385646232398,4.17227449223417,138.88546046035714,38.04944286466139
1963-02-01,1963,2,-16.27934898194809,12.383590220487406,31.635109126984126,130.36193142688376,40.82469478276707
1963-03-01,1963,3,-14.549385267688365,71.26929852637431,94.65387868837928,139.3085369321575,58.392008613052155
1963-04-01,1963,4,-5.37867813110347,30.96786287075659,172.21819444444444,288.2771307516478,120.93277569235454
1963-05-01,1963,5,5.8162662218975925,11.697803091603731,258.7749865591398,557.6555678579359,365.5817433314385
1963-06-01,1963,6,9.102658335367837,120.4460916362109,213.3813348765432,826.7347602164494,329.248034031806
1963-07-01,1963,7,12.773017542849344,113.69789839861966,185.1333953106332,1085.9977423948949,389.58459487926484
