date,RECO_black_spruce_modeled,GPP_black_spruce_modeled,NEE_black_spruce_modeled,RECO_birch_modeled,GPP_birch_modeled,NEE_birch_modeled,GPP_observed_RF,RECO_observed_RF,NEE_observed_RF,GPP_observed_oneflux,RECO_observed_oneflux,NEE_observed_oneflux,tair,nirr,precip
2019-12-01,2.9262929811038787,0.0,2.9262929811038787,1.543210516474801,0.0,1.543210516474801,-3.12181171120764,9.848746253232,12.970567366540203,8.70724201565592,7.706271653535581,-1.025542894609088,-17.290302,1.7476852,14.254417
2020-01-01,2.0319127226983937,0.0,2.0319127226983937,0.3549046372409137,0.0,0.3549046372409137,-0.7595413060907519,3.34360006051662,4.103143207293599,6.335881520584175,2.874846909314997,-3.457230447881403,-26.896767,5.659722,11.438906
2020-02-01,1.5995070388453314,0.0,1.5995070388453314,0.8889012823174198,0.0,0.8889012823174198,-1.123303890753,4.308199680526199,5.43150445567158,4.14860831653417,4.431109405395618,2.930912788022468,-18.148327,26.493055,21.617956
2020-03-01,4.090150402796098,0.0,4.090150402796098,1.952563018580463,0.0,1.952563018580463,0.6737190040805399,9.232769476897198,8.559049111531198,20.676370896130337,10.493081285249698,5.237262367133566,-14.741952,77.9343,52.96362
2020-04-01,17.88790261313261,0.0,17.88790261313261,8.210543585666528,0.0,8.210543585666528,9.229998054269338,16.058711877299995,6.8287274581518,64.11000654739128,19.907637517494,12.696107510591998,-2.022586,146.41133,38.646812
2020-05-01,72.05041374241046,93.78063308555284,-21.73021934314238,76.92817211190004,79.74643428801437,-2.818262176114331,46.71944288005536,30.950433744660003,-15.768988823338743,96.59766483370728,33.1801203177,2.5099806761581083,9.635393,191.48978,11.709839
2020-06-01,129.34168897342897,168.17750616572448,-38.83581719229551,104.85470802950294,119.90194307213369,-15.047235042630746,68.53704597434141,41.3907566976,-27.1462968973026,111.51803180447892,72.109601866872,-38.65522375326233,13.945146,210.59201,58.001404
2020-07-01,149.79341615291196,180.292599562963,-30.499183410051046,86.51976483147155,115.81364984003812,-29.293885008566576,82.47046959889919,53.9257897008,-28.544690309328,152.8201441816792,116.94138265853998,-26.503793267293453,14.987096,182.89676,43.60693
2020-08-01,138.4769243689625,158.30460118796327,-19.82767681900077,87.32861615417733,100.25777504836242,-12.929158894185093,94.1026643566236,83.3931666018,-10.7094889130616,155.8410353583948,140.13554563404,-16.726330378937586,13.648336,136.27892,48.235626
2020-09-01,100.52328978468722,87.85227027158544,12.671019513101783,55.192569917708624,56.264067330732814,-1.0714974130241899,42.42142822579199,56.05373202156,13.63228837932366,82.30057500782141,105.05003835995998,24.24958930507453,7.1226296,78.53037,38.77161
2020-10-01,23.336112672830495,0.0,23.336112672830495,15.73654339783161,0.0,15.73654339783161,9.288912524572098,24.63640049538,15.347472072087598,14.309290403914249,28.315974571578,14.111651530266563,-3.116191,35.407104,10.6760845
2020-11-01,4.368532408257124,0.0,4.368532408257124,7.10392133675839,0.0,7.10392133675839,0.48400044434406,4.144003687422,3.66000190622082,5.272857037565911,3.75977414301956,-1.6865264991375335,-15.945092,10.05787,16.446264
2020-12-01,3.3204591884723413,0.0,3.3204591884723413,1.5015910758801851,0.0,1.5015910758801851,-0.0072389306273399,5.786505754667999,5.793740164323,3.494966992145911,4.858721556349065,1.3304171283911772,-14.290339,1.7476851,10.764497
2021-01-01,2.510300886035111,0.0,2.510300886035111,1.1248233024660408,0.0,1.1248233024660408,0.2084571395039519,2.715924444282,2.5074712484200803,4.877871506237427,2.0296113421192854,-2.86272447257054,-16.271929,3.637772,4.702
2021-02-01,1.2207109392143138,0.0,1.2207109392143138,0.548016555368207,0.0,0.548016555368207,-0.171909017323776,2.962863442637999,3.13476868325394,2.070864014091552,4.1239504501452,2.009275878823819,-21.66691,22.957521,18.218
2021-03-01,4.760191845422469,0.0,4.760191845422469,2.1123951457853423,0.0,2.1123951457853423,-0.7711234973379,4.476334780206,5.247463197368339,2.289352003715282,4.93287523870608,2.655766016160889,-12.894444,83.08069,18.19
