time,year,month,air_temperature_celsius,precipitation_mm,shortwave_radiation_wm2,vapor_pressure_pa
1990-04-01,1990,4,-0.02258095211448108,10.202539675066902,179.06589506172838,426.9846563540443
1990-05-01,1990,5,9.253025534845165,37.305203804940845,231.7918802270012,747.7116947956231
1990-06-01,1990,6,14.140274132622608,59.70725180942793,246.4067052469136,1016.2090303178786
1990-07-01,1990,7,16.706805575791236,130.44854207132772,219.43737753882914,1203.760878403624
1990-08-01,1990,8,13.417089060301464,113.67234378338509,144.2231369474313,1151.2004717563523
1990-09-01,1990,9,5.107689136929025,81.41016283122582,83.37863720100309,674.6600556326847
1990-10-01,1990,10,-7.227915068595621,20.012636174580933,43.74119394537084,259.35344535871474
1990-11-01,1990,11,-20.589342350429945,46.885987394183815,9.72625462962963,92.69922259647907
1990-12-01,1990,12,-20.607841339931667,77.85060997830584,1.2062514934289128,89.88980034700411
1991-01-01,1991,1,-17.853034903413487,36.93980543486575,5.019744623655914,109.55089291658379
1991-02-01,1991,2,-19.20129278273808,10.324332306442585,35.252279265873014,94.81397615507781
1991-03-01,1991,3,-10.877026231827244,70.78258503485912,84.51573126633961,201.87150713997727
1991-04-01,1991,4,-1.1295284695095233,3.8067784650479553,200.33910570987655,400.3858059961541
1991-05-01,1991,5,7.1650310721448704,35.44637814270146,246.01784124850658,637.1588468102123
1991-06-01,1991,6,14.275975757175047,55.33868186213553,256.1684645061728,972.875234939783
1991-07-01,1991,7,13.765582985006404,98.28765366764358,211.70582287933095,1066.4438308562035
1991-08-01,1991,8,9.86291693410567,116.77008528613797,157.65045773596177,872.1835208327238
1991-09-01,1991,9,7.159445063273154,56.82278310932176,97.27437249680507,742.9000477699554
1991-10-01,1991,10,-4.952304032028337,43.15791173047501,42.9459848433555,332.4947557404965
1991-11-01,1991,11,-17.552522277831997,14.156691189800341,12.789276234567902,106.92465741568094
1991-12-01,1991,12,-18.20606009370536,25.79258515845595,1.3139396654719235,108.76569010654076
