1.01, 5.02, 6.52, 8.68, 9.79, -17.52, -17.76, -14.57, -4.53, -0.1, -13.18, -17.2, -11.45, -1.13, -0.12, 0.0, 0.05, 0.19, 0.0, 0.01, 0.01, 0.07, 0.01, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19
3.22, 1.29, 4.66, 8.39, 1.53, -6.38, -0.94, -17.34, -16.73, -4.79, -9.8, -18.68, -19.95, -18.46, -4.15, 0.08, 0.0, 0.17, 0.0, 0.06, 0.01, 0.03, 0.02, 0.01, 0.03, 0.03, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0
6.23, 9.22, 9.94, 9.99, 6.49, -0.23, -7.09, -16.98, -0.43, -6.75, -0.48, -2.32, -4.97, -19.44, -20.0, 0.06, 0.02, 0.07, 0.16, 0.02, 0.0, 0.01, 0.0, 0.08, 0.02, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.2, 0.14, 0.14, 0.05
9.14, 8.2, 3.51, 1.87, 9.19, -2.6, -0.35, -18.06, -17.41, -2.34, -4.47, -1.11, -15.98, -16.57, -9.66, 0.0, 0.05, 0.02, 0.0, 0.01, 0.0, 0.0, 0.01, 0.07, 0.11, 0.2, 0.02, 0.0, 0.06, 0.13, 0.0, 0.0, 0.0, 0.03, 0.11
9.62, 6.22, 2.39, 7.25, 2.82, -18.65, -2.95, -17.28, -7.65, -3.33, -13.61, -19.99, -12.8, -2.46, -3.37, 0.2, 0.0, 0.0, 0.0, 0.02, 0.0, 0.09, 0.0, 0.07, 0.03, 0.14, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.2, 0.2
10.0, 9.97, 9.14, 9.27, 7.43, -15.3, -1.77, -10.68, -19.99, -4.62, -8.5, -19.71, -4.53, -1.03, -5.01, 0.02, 0.01, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.04, 0.05, 0.2, 0.19, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0
1.4, 5.7, 5.04, 6.51, 9.81, -17.15, -3.07, -2.08, -16.22, -2.74, -19.65, -12.73, -19.95, -5.3, -1.39, 0.13, 0.02, 0.05, 0.13, 0.02, 0.01, 0.04, 0.01, 0.03, 0.0, 0.12, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.02, 0.04, 0.0
6.75, 8.32, 4.6, 4.33, 9.35, -13.4, -3.42, -1.13, -0.72, -5.64, -3.82, -2.33, -19.4, -3.45, -3.4, 0.04, 0.03, 0.0, 0.2, 0.02, 0.0, 0.02, 0.01, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19, 0.0
3.31, 2.98, 2.74, 9.46, 1.12, -14.5, -3.0, -4.82, -4.9, -2.33, -11.59, -1.3, -6.51, -20.0, -19.0, 0.03, 0.03, 0.0, 0.0, 0.02, 0.04, 0.0, 0.01, 0.2, 0.04, 0.02, 0.0, 0.2, 0.0, 0.0, 0.17, 0.08, 0.0, 0.0, 0.0
10.0, 3.16, 5.47, 1.33, 5.34, -8.18, -5.09, -14.95, -7.34, -3.27, -11.2, -16.75, -9.85, -2.96, -2.43, 0.01, 0.02, 0.0, 0.19, 0.0, 0.05, 0.04, 0.01, 0.02, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0
